"Action","Rel","GB","Source","Destination","Note"
"COPIED","diffusion_models\flux-2-klein\F2K-9b-darkBeastMar0326Latest_dbkleinv2BFS.safetensors","8.46","D:\AigcProject\安装包\黑鹤\▶更好的换面流-Klein9b-BFS\模型在这里（放入models）\diffusion_models\flux-2-klein\F2K-9b-darkBeastMar0326Latest_dbkleinv2BFS.safetensors","C:\AigcFolder\ComfyUI_Mie_2026_V8.0_Base\ComfyUI_Mie_2026_V8.0_Base\ComfyUI\models\diffusion_models\flux-2-klein\F2K-9b-darkBeastMar0326Latest_dbkleinv2BFS.safetensors","workflow UNET"
"COPIED","text_encoders\qwen_3_8b_fp8mixed.safetensors","8.07","D:\AigcProject\安装包\黑鹤\▶更好的换面流-Klein9b-BFS\模型在这里（放入models）\text_encoders\qwen_3_8b_fp8mixed.safetensors","C:\AigcFolder\ComfyUI_Mie_2026_V8.0_Base\ComfyUI_Mie_2026_V8.0_Base\ComfyUI\models\text_encoders\qwen_3_8b_fp8mixed.safetensors","workflow CLIP/text encoder"
