"Status","SourceRel","DestinationRel","Bytes"
"COPIED_VERIFIED","text_encoders\umt5_xxl_fp8_e4m3fn_scaled.safetensors","text_encoders\umt5_xxl_fp8_e4m3fn_scaled.safetensors","6735906897"
"COPIED_VERIFIED","loras\2.1\lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank128_bf16.safetensors","loras\WAN\2.1\lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank128_bf16.safetensors","1253192432"
"COPIED_VERIFIED","loras\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_HIGH_lora_rank_128_fp16.safetensors","loras\WAN\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_HIGH_lora_rank_128_fp16.safetensors","1226934120"
"COPIED_VERIFIED","loras\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_LOW_lora_rank_128_fp16.safetensors","loras\WAN\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_LOW_lora_rank_128_fp16.safetensors","1226934120"
"COPIED_VERIFIED","loras\2.2\wan2.2_i2v_A14b_high_noise_lora_rank64_lightx2v_4step_1022.safetensors","loras\WAN\2.2\wan2.2_i2v_A14b_high_noise_lora_rank64_lightx2v_4step_1022.safetensors","634645944"
"COPIED_VERIFIED","loras\2.2\wan2.2_i2v_A14b_low_noise_lora_rank64_lightx2v_4step_1022.safetensors","loras\WAN\2.2\wan2.2_i2v_A14b_low_noise_lora_rank64_lightx2v_4step_1022.safetensors","739472104"
"COPIED_VERIFIED","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionHighV9.safetensors","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionHighV9.safetensors","14528641504"
"COPIED_VERIFIED","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionLowV9.safetensors","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionLowV9.safetensors","14528641504"
"DELETED_LOW_VRAM_GGUF_UNUSED","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4High.gguf","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4High.gguf","9651739136"
"DELETED_LOW_VRAM_GGUF_UNUSED","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4Low.gguf","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4Low.gguf","9651739136"
"DELETED_LOW_VRAM_GGUF_UNUSED","diffusion_models\WAN2.2\Remix_I2V-GGUF_V21_highQ40.gguf","diffusion_models\WAN2.2\Remix_I2V-GGUF_V21_highQ40.gguf","9651728896"
"DELETED_LOW_VRAM_GGUF_UNUSED","diffusion_models\WAN2.2\Remix_I2V-GGUF_V21_lowQ40.gguf","diffusion_models\WAN2.2\Remix_I2V-GGUF_V21_lowQ40.gguf","9651728896"
"COPIED_VERIFIED","diffusion_models\WAN2.2\Remix_NSFW_i2v_14b_high_lighting_fp8_e4m3fn_v2.1.safetensors","diffusion_models\WAN2.2\Remix_NSFW_i2v_14b_high_lighting_fp8_e4m3fn_v2.1.safetensors","14291297968"
"COPIED_VERIFIED","diffusion_models\WAN2.2\Remix_NSFW_i2v_14b_low_lighting_fp8_e4m3fn_v2.1.safetensors","diffusion_models\WAN2.2\Remix_NSFW_i2v_14b_low_lighting_fp8_e4m3fn_v2.1.safetensors","14291297968"
"COPIED_VERIFIED","diffusion_models\WAN2.2\Remix_NSFW_t2v_14b_high_lighting_v2.0.safetensors","diffusion_models\WAN2.2\Remix_NSFW_t2v_14b_high_lighting_v2.0.safetensors","14289633736"
"COPIED_VERIFIED","diffusion_models\WAN2.2\Remix_NSFW_t2v_14b_low_lighting_v2.0.safetensors","diffusion_models\WAN2.2\Remix_NSFW_t2v_14b_low_lighting_v2.0.safetensors","14289633736"
"COPIED_VERIFIED","diffusion_models\WAN2.2\smoothMix_Wan2214B-I2V_i2v_V20_High.safetensors","diffusion_models\WAN2.2\smoothMix_Wan2214B-I2V_i2v_V20_High.safetensors","14550099704"
"COPIED_VERIFIED","diffusion_models\WAN2.2\smoothMix_Wan2214B-I2V_i2v_V20_Low.safetensors","diffusion_models\WAN2.2\smoothMix_Wan2214B-I2V_i2v_V20_Low.safetensors","14550099768"
"DELETED_LOW_VRAM_GGUF_UNUSED","diffusion_models\WAN2.2\smoothMix_Wan22-I2V_V20_highQ4KM.gguf","diffusion_models\WAN2.2\smoothMix_Wan22-I2V_V20_highQ4KM.gguf","9651728896"
"DELETED_LOW_VRAM_GGUF_UNUSED","diffusion_models\WAN2.2\smoothMix_Wan22-I2V_V20_lowQ4KM.gguf","diffusion_models\WAN2.2\smoothMix_Wan22-I2V_V20_lowQ4KM.gguf","9651728896"
"DELETED_LOW_VRAM_GGUF_UNUSED","diffusion_models\WAN2.2\smoothMix_Wan22-T2V_V20_highQ6K.gguf","diffusion_models\WAN2.2\smoothMix_Wan22-T2V_V20_highQ6K.gguf","12011199104"
"DELETED_LOW_VRAM_GGUF_UNUSED","diffusion_models\WAN2.2\smoothMix_Wan22-T2V_V20_lowQ6K.gguf","diffusion_models\WAN2.2\smoothMix_Wan22-T2V_V20_lowQ6K.gguf","12001372704"
"DELETED_MMAUDIO_WORKFLOW_UNUSED","mmaudio\apple_DFN5B-CLIP-ViT-H-14-384_fp16.safetensors","mmaudio\apple_DFN5B-CLIP-ViT-H-14-384_fp16.safetensors","1973509450"
"DELETED_MMAUDIO_WORKFLOW_UNUSED","mmaudio\mmaudio_large_44k_nsfw_gold_8.5k_final_fp16.safetensors","mmaudio\mmaudio_large_44k_nsfw_gold_8.5k_final_fp16.safetensors","2060050528"
"DELETED_MMAUDIO_WORKFLOW_UNUSED","mmaudio\mmaudio_synchformer_fp16.safetensors","mmaudio\mmaudio_synchformer_fp16.safetensors","474981098"
"DELETED_MMAUDIO_WORKFLOW_UNUSED","mmaudio\mmaudio_vae_44k_fp16.safetensors","mmaudio\mmaudio_vae_44k_fp16.safetensors","610966060"
"SKIPPED_EXISTING","clip_vision_h.safetensors","clip_vision\clip_vision_h.safetensors","1264219396"
"SKIPPED_EXISTING","nsfw_wan_umt5-xxl_fp8_scaled.safetensors","text_encoders\nsfw_wan_umt5-xxl_fp8_scaled.safetensors","6735887993"
"SKIPPED_EXISTING","wan_2.1_vae.safetensors","vae\Wan_2.1\wan_2.1_vae.safetensors","253815318"
"SKIPPED_EXISTING","flownet.pkl","sonic\RIFE\flownet.pkl","12186817"
"NOT_IN_EXTERNAL_PACKAGE","wan2.2_i2v_high_noise_14B_fp8_scaled.safetensors","","0"
"NOT_IN_EXTERNAL_PACKAGE","wan2.2_i2v_low_noise_14B_fp8_scaled.safetensors","","0"
